Report Refresh Date,Site Type,Page View Count,Report Date,Report Period
2022-09-10,All,1284,2022-03-26,180
2022-09-10,All,2748,2022-03-25,180
2022-09-10,All,3632,2022-03-24,180
2022-09-10,All,2934,2022-03-23,180
2022-09-10,All,3019,2022-03-22,180
2022-09-10,All,2840,2022-03-21,180
2022-09-10,All,539,2022-03-20,180
2022-09-10,All,1314,2022-03-19,180
2022-09-10,All,2776,2022-03-18,180
2022-09-10,All,2894,2022-03-17,180
2022-09-10,All,2872,2022-03-16,180
2022-09-10,All,3116,2022-03-15,180
