Report Refresh Date,Report Period,Report Date,Designers,Respondents,Total Users
2022-09-10,180,2022-06-10,42,135,168
2022-09-10,180,2022-06-09,37,239,263
2022-09-10,180,2022-06-08,35,314,338
2022-09-10,180,2022-06-07,65,149,205
2022-09-10,180,2022-06-06,29,181,202
2022-09-10,180,2022-06-05,10,24,34
2022-09-10,180,2022-06-04,5,43,46
2022-09-10,180,2022-06-03,27,137,153
2022-09-10,180,2022-06-02,24,162,175
2022-09-10,180,2022-06-01,4,42,44
2022-09-10,180,2022-05-31,24,114,129
2022-09-10,180,2022-05-30,25,290,300
2022-09-10,180,2022-05-29,5,38,41
2022-09-10,180,2022-05-28,6,8,13
2022-09-10,180,2022-05-27,21,128,144
2022-09-10,180,2022-05-26,6,30,34
2022-09-10,180,2022-05-25,22,129,149
2022-09-10,180,2022-05-24,31,265,285
2022-09-10,180,2022-05-23,35,281,302
2022-09-10,180,2022-05-22,3,64,67
2022-09-10,180,2022-05-21,6,50,54
2022-09-10,180,2022-05-20,22,138,151
2022-09-10,180,2022-05-19,19,139,152
2022-09-10,180,2022-05-18,22,197,211
2022-09-10,180,2022-05-17,28,206,226
2022-09-10,180,2022-05-16,12,103,112
2022-09-10,180,2022-05-15,5,27,31
2022-09-10,180,2022-05-14,6,30,34
2022-09-10,180,2022-05-13,22,248,262
2022-09-10,180,2022-05-12,26,168,187
2022-09-10,180,2022-05-11,21,66,82
2022-09-10,180,2022-05-10,18,74,86
2022-09-10,180,2022-05-09,13,146,156
2022-09-10,180,2022-05-08,2,42,44
2022-09-10,180,2022-05-07,0,2,2
2022-09-10,180,2022-05-06,2,5,6
2022-09-10,180,2022-05-05,0,1,1
2022-09-10,180,2022-05-04,1,0,1
2022-09-10,180,2022-05-03,0,3,3
2022-09-10,180,2022-05-02,0,0,0
2022-09-10,180,2022-05-01,0,5,5
2022-09-10,180,2022-04-30,4,5,9
2022-09-10,180,2022-04-29,6,8,13
2022-09-10,180,2022-04-28,20,143,157
2022-09-10,180,2022-04-27,23,172,186
2022-09-10,180,2022-04-26,21,124,135
2022-09-10,180,2022-04-25,52,382,418
2022-09-10,180,2022-04-24,7,56,58
2022-09-10,180,2022-04-23,8,30,37
2022-09-10,180,2022-04-22,31,329,350
2022-09-10,180,2022-04-21,30,529,549
2022-09-10,180,2022-04-20,25,596,609
2022-09-10,180,2022-04-19,31,642,659
2022-09-10,180,2022-04-18,24,318,338
2022-09-10,180,2022-04-17,12,130,135
2022-09-10,180,2022-04-16,8,94,100
2022-09-10,180,2022-04-15,8,62,68
2022-09-10,180,2022-04-14,74,176,221
2022-09-10,180,2022-04-13,28,87,106
2022-09-10,180,2022-04-12,18,217,229
2022-09-10,180,2022-04-11,25,269,282
2022-09-10,180,2022-04-10,4,55,58
2022-09-10,180,2022-04-09,2,23,24
2022-09-10,180,2022-04-08,22,81,97
2022-09-10,180,2022-04-07,17,99,110
2022-09-10,180,2022-04-06,24,132,150
2022-09-10,180,2022-04-05,23,92,112
2022-09-10,180,2022-04-04,23,147,161
2022-09-10,180,2022-04-03,4,19,20
2022-09-10,180,2022-04-02,3,16,18
2022-09-10,180,2022-04-01,12,112,121
2022-09-10,180,2022-03-31,22,153,164
2022-09-10,180,2022-03-30,20,231,243
2022-09-10,180,2022-03-29,20,691,704
2022-09-10,180,2022-03-28,19,531,547
2022-09-10,180,2022-03-27,4,26,30
2022-09-10,180,2022-03-26,1,18,19
2022-09-10,180,2022-03-25,20,525,538
2022-09-10,180,2022-03-24,19,275,288
2022-09-10,180,2022-03-23,23,162,179
2022-09-10,180,2022-03-22,21,136,151
2022-09-10,180,2022-03-21,26,141,158
2022-09-10,180,2022-03-20,2,26,28
2022-09-10,180,2022-03-19,1,12,13
2022-09-10,180,2022-03-18,13,117,125
2022-09-10,180,2022-03-17,19,87,104
2022-09-10,180,2022-03-16,24,97,115
2022-09-10,180,2022-03-15,18,130,143
